library,day,start_time,end_time
PA   ,thu,09:00:00,20:00:00
PA   ,fri,09:00:00,20:00:00
PA   ,sat,09:00:00,17:00:00
PA   ,sun,13:30:00,17:30:00
PK   ,mon,09:00:00,20:00:00
PK   ,tue,09:00:00,20:00:00
PK   ,wed,09:00:00,20:00:00
PK   ,thu,09:00:00,20:00:00
PK   ,fri,09:00:00,20:00:00
PK   ,sat,09:00:00,17:00:00
PK   ,sun,13:30:00,17:30:00
PL   ,mon,09:00:00,20:00:00
PL   ,tue,09:00:00,20:00:00
PL   ,wed,09:00:00,20:00:00
PL   ,thu,09:00:00,20:00:00
PL   ,fri,09:00:00,20:00:00
PL   ,sat,09:00:00,17:00:00
PL   ,sun,13:30:00,17:30:00
PE   ,tue,12:30:00,20:30:00
PE   ,wed,10:00:00,18:00:00
PE   ,thu,12:30:00,20:30:00
PE   ,fri,10:00:00,18:00:00
PE   ,sat,09:00:00,17:00:00
PV   ,tue,12:30:00,20:30:00
PV   ,wed,10:00:00,18:00:00
PV   ,thu,12:30:00,20:30:00
PV   ,fri,10:00:00,18:00:00
PV   ,sat,09:00:00,17:00:00
PU   ,mon,10:00:00,20:00:00
PU   ,tue,12:30:00,20:30:00
PU   ,wed,10:00:00,18:00:00
PU   ,thu,12:30:00,20:30:00
PU   ,fri,10:00:00,18:00:00
PU   ,sat,09:00:00,17:00:00
QS   ,tue,12:30:00,20:30:00
QS   ,wed,10:00:00,18:00:00
QS   ,thu,12:30:00,20:30:00
QS   ,fri,10:00:00,18:00:00
QS   ,sat,09:00:00,17:00:00
RX   ,tue,10:00:00,18:00:00
RX   ,wed,12:30:00,20:30:00
RX   ,thu,12:30:00,20:30:00
RX   ,fri,10:00:00,18:00:00
RX   ,sat,09:00:00,17:00:00
RI   ,mon,09:00:00,20:00:00
RI   ,tue,09:00:00,20:00:00
RI   ,wed,09:00:00,20:00:00
RI   ,thu,09:00:00,20:00:00
RI   ,fri,09:00:00,20:00:00
RI   ,sat,09:00:00,17:00:00
RI   ,sun,13:30:00,17:30:00
RD   ,mon,09:00:00,20:00:00
RD   ,tue,09:00:00,20:00:00
RD   ,wed,09:00:00,20:00:00
RD   ,thu,09:00:00,20:00:00
RD   ,fri,09:00:00,17:00:00
RD   ,sat,09:00:00,17:00:00
RN   ,mon,09:00:00,20:00:00
RN   ,tue,09:00:00,20:00:00
RN   ,wed,09:00:00,20:00:00
RN   ,thu,09:00:00,20:00:00
RN   ,fri,09:00:00,17:00:00
RN   ,sat,09:00:00,17:00:00
RN   ,sun,13:30:00,17:30:00
SWS  ,mon,09:00:00,20:00:00
SWS  ,tue,09:00:00,20:00:00
SWS  ,wed,09:00:00,20:00:00
SWS  ,thu,09:00:00,20:00:00
SWS  ,fri,09:00:00,20:00:00
SWS  ,sat,09:00:00,17:00:00
SWS  ,sun,13:30:00,17:30:00
SA   ,mon,09:00:00,20:00:00
SA   ,tue,09:00:00,20:00:00
SA   ,wed,09:00:00,20:00:00
SA   ,thu,09:00:00,20:00:00
SA   ,fri,09:00:00,17:00:00
SA   ,sat,09:00:00,17:00:00
SA   ,sun,13:30:00,17:30:00
SC   ,mon,09:00:00,20:00:00
